Frame,Tracker,IoU
16,MEDIANFLOW,0.7182779958746424
16,MOSSE,0.7032289156626506
16,Fused,0.727404664197778
17,CSRT,0.910598137992603
17,KCF,0.9002980909494513
17,MIL,0.910598137992603
17,BOOSTING,0.9002980909494513
17,MEDIANFLOW,0.8989066442388561
17,MOSSE,0.8573720519813893
17,Fused,0.8753588815378854
18,CSRT,0.702186092496979
18,KCF,0.7014758202661747
18,MIL,0.721475391623153
18,BOOSTING,0.6889387861876526
18,MEDIANFLOW,0.6860180412371134
18,MOSSE,0.644522359598942
18,Fused,0.7023575638506876
19,CSRT,0.6773547929783597
19,KCF,0.6685576393886795
19,MIL,0.694235481236298
19,BOOSTING,0.6382492310250228
19,MEDIANFLOW,0.6520231213872832
19,MOSSE,0.610378327146355
19,Fused,0.667113981380525
20,CSRT,0.8683363354156287
20,KCF,0.8111468836151221
20,MIL,0.83825773881736
20,BOOSTING,0.7762190164678301
20,MEDIANFLOW,0.8244295302013422
20,MOSSE,0.7676442624149784
20,Fused,0.787928375277433
21,CSRT,0.8103245827392435
21,KCF,0.8036026061406124
21,MIL,0.8300207397165572
21,BOOSTING,0.7695425109672028
21,MEDIANFLOW,0.7780496909867685
21,MOSSE,0.7245473551339198
21,Fused,0.766957745313082
22,CSRT,0.8425501189262657
22,KCF,0.833616932973646
22,MIL,0.8252086259605057
22,BOOSTING,0.833616932973646
22,MEDIANFLOW,0.8055042519940736
22,MOSSE,0.7555504162812211
22,Fused,0.8230274548602523
23,CSRT,0.7587222825244224
23,KCF,0.8201985537443314
23,MIL,0.6785848843342627
23,BOOSTING,0.7233203109890535
23,MEDIANFLOW,0.8082365747460087
23,MOSSE,0.7132303559435863
23,Fused,0.7670628985279068
24,CSRT,0.8749001863188715
24,KCF,0.9164322850080968
24,MIL,0.7514799813054993
24,BOOSTING,0.8064269933721631
24,MEDIANFLOW,0.8959905560942704
24,MOSSE,0.7448410905256816
24,Fused,0.8365758754863813
25,CSRT,0.9075773881116668
25,KCF,0.9071743856644048
25,MIL,0.7727133555142781
25,BOOSTING,0.816312872529541
25,MEDIANFLOW,0.8952827912892827
25,MOSSE,0.7837983153115479
25,Fused,0.8925598391316569
26,CSRT,0.44337778550019546
26,KCF,0.4481079390608944
26,MIL,0.4481079390608944
26,BOOSTING,0.37558884692102024
26,MEDIANFLOW,0.4489537095751427
26,MOSSE,0.3878708192949297
26,Fused,0.4493686390664321
27,CSRT,0.379041248606466
27,KCF,0.3759733036707453
27,MIL,0.379041248606466
27,BOOSTING,0.379041248606466
27,MEDIANFLOW,0.3809996167459477
27,MOSSE,0.32935364347468093
27,Fused,0.3814069679261275
28,CSRT,0.4236127508854782
28,KCF,0.4025759577278732
28,MIL,0.4205597056528041
28,BOOSTING,0.43901061667043145
28,MEDIANFLOW,0.4224987039917055
28,MOSSE,0.3964266946925906
28,Fused,0.4424083769633508
29,CSRT,0.42537384512810744
29,KCF,0.39779148513997326
29,MIL,0.41909349682504926
29,BOOSTING,0.43365924877228684
29,MEDIANFLOW,0.4100920050064777
29,MOSSE,0.4262184306106935
29,Fused,0.43734290843806106
30,CSRT,0.44319789278571775
30,KCF,0.41711116755566846
30,MIL,0.42780976754105354
30,BOOSTING,0.42780976754105354
30,MEDIANFLOW,0.42471658261131945
30,MOSSE,0.4384805945499587
30,Fused,0.4330653617616218
31,CSRT,0.4751494951475346
31,KCF,0.4632359029560321
31,MIL,0.4755145493257629
31,BOOSTING,0.4755145493257629
31,MEDIANFLOW,0.4648669105588495
31,MOSSE,0.4892891918208374
31,Fused,0.4808233600481296
32,CSRT,0.45313651261464977
32,KCF,0.4172577561216308
32,MIL,0.43540729635182407
32,BOOSTING,0.43540729635182407
32,MEDIANFLOW,0.4240380291642577
32,MOSSE,0.44705597286164284
32,Fused,0.44225437532490036
33,CSRT,0.5534872761545712
33,KCF,0.5296898079763663
33,MIL,0.5652962515114873
33,BOOSTING,0.5652962515114873
33,MEDIANFLOW,0.5207139842006875
33,MOSSE,0.5857988165680473
33,Fused,0.5694623477067654
34,CSRT,0.4438736193167223
34,KCF,0.3836285888821014
34,MIL,0.42902208201892744
34,BOOSTING,0.42902208201892744
34,MEDIANFLOW,0.37531486146095716
34,MOSSE,0.43658536585365854
34,Fused,0.43605796593844404
35,CSRT,0.3884971409523321
35,KCF,0.3203085863139966
35,MIL,0.4218817436340095
35,BOOSTING,0.4218817436340095
35,MEDIANFLOW,0.30557599542147
35,MOSSE,0.3632661170159929
35,Fused,0.39900742237252407
36,CSRT,0.339162330461486
36,KCF,0.4498567335243553
36,MIL,0.5059523809523809
36,BOOSTING,0.3908741066520066
36,MEDIANFLOW,0.4253964579233708
36,MOSSE,0.5011454753722795
36,Fused,0.5117980761325331
37,CSRT,0.47175757575757576
37,KCF,0.4768670309653916
37,MIL,0.47230797167241695
37,BOOSTING,0.3354855712215048
37,MEDIANFLOW,0.4735900398851903
37,MOSSE,0.49420574077375645
37,Fused,0.4802494802494803
38,CSRT,0.4942008666836605
38,KCF,0.49302200751476116
38,MIL,0.4971741275679555
38,BOOSTING,0.3125855315936011
38,MEDIANFLOW,0.4540403238609303
38,MOSSE,0.5258964143426295
38,Fused,0.5099893868583238
39,CSRT,0.9509392951405061
39,KCF,0.9509392951405061
39,MIL,0.47615005941266336
39,BOOSTING,0.2902842898688349
39,MEDIANFLOW,0.9509392951405061
39,MOSSE,0.8959940809639573
39,Fused,0.7009906648885502
40,CSRT,0.9004458286226242
40,KCF,0.8990118908055602
40,MIL,0.4670482420278005
40,BOOSTING,0.2894740624685573
40,MEDIANFLOW,0.8972022382094325
40,MOSSE,0.9051937345424568
40,Fused,0.6325598683162534
41,CSRT,0.7609618673910856
41,KCF,0.8366851866343219
41,MIL,0.5077757215674816
41,BOOSTING,0.28677509628439224
41,MEDIANFLOW,0.8446501295816364
41,MOSSE,0.84964791457092
41,Fused,0.6112471100231198
42,CSRT,0.7019991212653779
42,KCF,0.7802892652082274
42,MIL,0.4685181259274963
42,BOOSTING,0.2741151430748614
42,MEDIANFLOW,0.7966969614758546
42,Fused,0.5624587329036315
43,CSRT,0.701834621247963
43,KCF,0.7504873294346979
43,MIL,0.898741924515471
43,BOOSTING,0.898741924515471
43,MEDIANFLOW,0.7211635527807545
43,MOSSE,0.526577927941048
43,Fused,0.75980115990058
44,CSRT,0.6335773177139269
44,KCF,0.6901062427802093
44,MIL,0.8520003865481253
44,BOOSTING,0.9165458272913646
44,MEDIANFLOW,0.6593436398155682
44,MOSSE,0.49951461696344374
44,Fused,0.7496764503810696
45,CSRT,0.5672563929600785
45,KCF,0.6365088454235858
45,MIL,0.7845323633761665
45,BOOSTING,0.8631906614785992
45,MEDIANFLOW,0.6292532861004941
45,MOSSE,0.46880816337155573
45,Fused,0.7178993593406924
46,CSRT,0.5566155593412834
46,KCF,0.5881989496447327
46,MIL,0.8005102484562086
46,BOOSTING,0.8066909090909091
46,MEDIANFLOW,0.5976244428397122
46,MOSSE,0.44966028412600373
46,Fused,0.6813604675727062
47,CSRT,0.4835534213685474
47,KCF,0.5409510034351835
47,MIL,0.7397625716953448
47,BOOSTING,0.7182189434857068
47,MEDIANFLOW,0.5923938679245283
47,MOSSE,0.4268394069557988
47,Fused,0.6311584553928096
48,CSRT,0.4473765757279026
48,KCF,0.5015993650640949
48,MIL,0.6887900842047741
48,BOOSTING,0.6597256127331316
48,MEDIANFLOW,0.5903495212570755
48,MOSSE,0.4016587420482425
48,Fused,0.5859412847592288
49,CSRT,0.3779951265737106
49,KCF,0.4569475483107664
49,MIL,0.6256486620639863
49,BOOSTING,0.5960305242056064
49,MEDIANFLOW,0.583187863674148
49,MOSSE,0.36888090963494913
49,Fused,0.5320954907161803
50,CSRT,0.35880193077272166
50,KCF,0.4219858156028369
50,MIL,0.5729338842975207
50,BOOSTING,0.546650413936716
50,MEDIANFLOW,0.5611971124150711
50,MOSSE,0.34113046044864226
50,Fused,0.48942842690945876
51,CSRT,0.3158234913919737
51,KCF,0.4005431352674559
51,MIL,0.543118475429422
51,BOOSTING,0.51522203204031
51,MEDIANFLOW,0.5457241720217498
51,MOSSE,0.3273386997340285
51,Fused,0.4660227864206813
52,CSRT,0.3372231633101198
52,KCF,0.4218994413407821
52,MIL,0.5799192755714495
52,BOOSTING,0.5457344832172196
52,MEDIANFLOW,0.49030335911134815
52,MOSSE,0.34483916083916083
52,Fused,0.493936595875654
53,CSRT,0.32479303885431143
