Frame,Tracker,Rmse
0,Fuse,20.396078054371138
0,CSRT,20.396078054371138
0,KCF,20.396078054371138
0,MIL,20.615528128088304
0,BOOSTING,19.4164878389476
0,MEDIANFLOW,19.6468827043885
1,Fuse,18.774983355518586
1,CSRT,18.788294228055936
1,KCF,17.507141400011598
1,MIL,18.041618552668716
1,BOOSTING,17.363755354185336
1,MEDIANFLOW,17.478558292948534
2,Fuse,17.897858344878397
2,CSRT,18.211717839530316
2,KCF,15.652475842498529
2,MIL,17.426034163476974
2,BOOSTING,16.32993161855452
2,MEDIANFLOW,17.0
3,Fuse,18.12456896039186
3,CSRT,18.741664813991314
3,KCF,15.124483462254174
3,MIL,18.172781845386247
3,BOOSTING,17.755280904564703
3,MEDIANFLOW,17.585505395068974
4,Fuse,17.314733610425545
4,CSRT,18.16590212458495
4,KCF,14.106735979665885
4,MIL,17.782013384316187
4,BOOSTING,17.7426040929735
4,MEDIANFLOW,17.35511451993331
5,Fuse,17.277152543170995
5,CSRT,18.645821694595995
5,KCF,13.808210118138652
5,MIL,18.21629307332678
5,BOOSTING,18.33030277982336
5,MEDIANFLOW,18.197985236466884
6,Fuse,16.750266522399833
6,CSRT,18.73118103209573
6,KCF,13.142080722407915
6,MIL,18.345883150489882
6,BOOSTING,17.63114128061887
6,MEDIANFLOW,18.310808673723677
7,Fuse,17.567726090760864
7,CSRT,20.04058382383108
7,KCF,13.476831971943554
7,MIL,19.461500456028563
7,BOOSTING,18.92419086777556
7,MEDIANFLOW,19.579964249201275
8,Fuse,21.286406721452803
8,CSRT,21.90383020792888
8,KCF,20.760539492026695
8,MIL,21.43465522103037
8,BOOSTING,24.417662095749915
8,MEDIANFLOW,21.786846184490923
9,Fuse,20.265734627691145
9,CSRT,20.823064135712592
9,KCF,20.275601100830524
9,MIL,20.38381711063951
9,BOOSTING,23.645295515175953
9,MEDIANFLOW,20.825465180878915
10,Fuse,19.828812828352035
10,CSRT,20.723285102863045
10,KCF,19.393063427187286
10,MIL,20.09975124224178
10,BOOSTING,23.15167380558045
10,MEDIANFLOW,20.527143892018596
11,Fuse,20.279299790673246
11,CSRT,21.594752448994022
11,KCF,18.931895485309088
11,MIL,20.75451758051726
11,BOOSTING,23.567279577131227
11,MEDIANFLOW,21.33854103103896
12,Fuse,20.053773863137234
12,CSRT,21.074957797202018
12,KCF,19.777609717906916
12,MIL,20.179959594379003
12,BOOSTING,23.55027355712423
12,MEDIANFLOW,20.5949956580196
13,Fuse,24.815030007753656
13,CSRT,25.24168887263404
13,KCF,26.67931247775539
13,MIL,23.450555887410676
13,BOOSTING,27.716678836294324
13,MEDIANFLOW,23.87317681894413
14,Fuse,29.575891082659425
14,CSRT,29.26317367158479
14,KCF,31.95622005181464
14,MIL,26.727015047201462
14,BOOSTING,35.043782139869926
14,MEDIANFLOW,26.897335679703794
15,Fuse,30.04787846088306
