Tracker,RMSE
Fuse,40.34061906092279
CSRT,65.41573577813642
KCF,33.191322142183765
MIL,39.62863322685469
BOOSTING,68.89448149040628
MEDIANFLOW,61.4167127502117
MOSSE,74.33216791161603
