Tracker,RMSE
Fuse,40.34061906092279
CSRT,59.16062027731486
KCF,28.187249039297207
MIL,34.33644705904581
BOOSTING,63.57084316603277
MEDIANFLOW,58.717096990498405
MOSSE,68.11023592154218
