Frame,Tracker,Rmse
0,Fuse,20.396078054371138
0,CSRT,20.396078054371138
0,KCF,20.396078054371138
0,MIL,20.396078054371138
0,BOOSTING,20.396078054371138
0,MEDIANFLOW,20.396078054371138
1,Fuse,18.788294228055936
1,CSRT,18.788294228055936
1,KCF,18.788294228055936
1,MIL,18.774983355518586
1,BOOSTING,18.788294228055936
1,MEDIANFLOW,18.774983355518586
1,MOSSE,17.029386365926403
2,Fuse,17.90716802475106
2,CSRT,18.211717839530316
2,KCF,17.61628034896508
2,MIL,18.20256392196806
2,BOOSTING,17.916472867168917
2,MEDIANFLOW,18.20256392196806
2,MOSSE,17.029386365926403
3,Fuse,18.371173070873837
3,CSRT,18.741664813991314
3,KCF,16.852299546352718
3,MIL,18.48648154733615
3,BOOSTING,18.621224449536072
3,MEDIANFLOW,18.466185312619388
3,MOSSE,18.973665961010276
4,Fuse,17.74823934929885
4,CSRT,17.944358444926362
4,KCF,15.42076522096099
4,MIL,17.804493814764857
4,BOOSTING,18.303005217723125
4,MEDIANFLOW,17.826945896591486
4,MOSSE,19.83053201505194
5,Fuse,18.01850900231944
5,CSRT,18.197985236466884
5,KCF,14.433756729740644
5,MIL,18.12456896039186
5,BOOSTING,18.618986725025255
5,MEDIANFLOW,18.321208111548394
5,MOSSE,22.230609528305784
6,Fuse,17.683729406273038
6,CSRT,18.173764450044857
6,KCF,13.432370283333148
6,MIL,18.110770276274835
6,BOOSTING,17.86057109949175
6,MEDIANFLOW,18.236541025409082
6,MOSSE,23.079572497485014
7,Fuse,18.553975315279473
7,CSRT,19.319679086361656
7,KCF,13.346347815039138
7,MIL,19.029582233985064
7,BOOSTING,18.59435398178705
7,MEDIANFLOW,19.29378138157474
7,MOSSE,25.108336691795646
8,Fuse,21.638443156156644
8,CSRT,21.30206041156061
8,KCF,21.19224176700311
8,MIL,21.05548226313834
8,BOOSTING,23.7369847378399
8,MEDIANFLOW,21.702534414210707
8,MOSSE,25.64907405736121
9,Fuse,20.615528128088304
9,CSRT,20.24104740372889
9,KCF,20.871032557111302
9,MIL,20.0074985942771
9,BOOSTING,22.669362584775072
9,MEDIANFLOW,20.709901013766338
9,MOSSE,24.65540283363646
10,Fuse,20.22599587389726
10,CSRT,20.23049004035066
10,KCF,20.002272598155166
10,MIL,19.792101271145334
10,BOOSTING,22.287379225186456
10,MEDIANFLOW,20.362621727969206
10,MOSSE,24.592681838303037
11,Fuse,20.762546407734607
11,CSRT,21.219095173922945
11,KCF,19.465781943365815
11,MIL,20.44912386061238
11,BOOSTING,22.929238975596203
11,MEDIANFLOW,21.130546609115438
11,MOSSE,25.65505443731933
12,Fuse,20.379099398837337
12,CSRT,20.782759126811744
12,KCF,20.46948949045872
12,MIL,19.99230621244852
12,BOOSTING,22.81362615766153
12,MEDIANFLOW,20.42434444857034
12,MOSSE,24.611988948477936
13,Fuse,24.774699075583428
13,CSRT,25.303867575643736
13,KCF,27.47986275698729
13,MIL,23.55237325014797
13,BOOSTING,27.754021587613465
13,MEDIANFLOW,23.68996170774207
13,MOSSE,26.76248809865722
14,Fuse,29.133028221133028
14,CSRT,29.724288609373534
14,KCF,32.88059204657564
14,MIL,26.81044572550035
14,BOOSTING,35.058047102864506
14,MEDIANFLOW,26.84523545560118
14,MOSSE,28.88771365130858
15,Fuse,29.43318705135412
15,CSRT,30.184847191927275
15,KCF,33.55312951126914
15,MIL,26.560073418573225
15,BOOSTING,37.155921466167406
15,MEDIANFLOW,26.699719099645975
15,MOSSE,28.449956063234964
16,Fuse,29.106296064395334
16,CSRT,29.74301697581349
16,KCF,33.03652167989061
16,MIL,26.576194566699325
16,BOOSTING,36.203672221929935
16,MEDIANFLOW,26.659067544701205
16,MOSSE,28.37912965543517
17,Fuse,28.408723229943924
17,CSRT,29.00957696271277
17,KCF,32.29637062512684
17,MIL,25.924034322526953
17,BOOSTING,35.30974055098363
17,MEDIANFLOW,26.033098590490955
17,MOSSE,27.723423946080644
18,Fuse,28.4993074708104
18,CSRT,29.023583876782542
18,KCF,31.953914182443242
18,MIL,26.05358849917244
18,BOOSTING,34.880246256977145
18,MEDIANFLOW,26.39876392640582
18,MOSSE,28.46733020303957
19,Fuse,28.809720581775867
19,CSRT,29.128165064075013
19,KCF,31.81980515339464
19,MIL,26.311594402468277
19,BOOSTING,34.73182978191618
19,MEDIANFLOW,27.027763503479157
19,MOSSE,29.44128858735994
20,Fuse,28.38930046606258
20,CSRT,28.647280266487194
20,KCF,31.35207139811309
20,MIL,25.9330640211258
20,BOOSTING,34.23935357645254
20,MEDIANFLOW,26.59663423031103
20,MOSSE,29.122156513555105
21,Fuse,27.94068392473273
21,CSRT,28.106130033402774
21,KCF,30.780749592148425
21,MIL,25.388794951531455
21,BOOSTING,33.65398801168903
21,MEDIANFLOW,26.279096428357448
21,MOSSE,28.964674708209326
22,Fuse,27.50177859860988
22,CSRT,27.647627463271167
22,KCF,30.237465962379964
22,MIL,25.09633612614642
22,BOOSTING,33.0631806250318
22,MEDIANFLOW,25.917930674241386
22,MOSSE,28.721230664946983
23,Fuse,27.29316153666824
23,CSRT,27.5121185419565
23,KCF,29.755951785595208
23,MIL,25.610870088043995
23,BOOSTING,32.7998983738263
23,MEDIANFLOW,25.60842960172815
23,MOSSE,28.61133858546597
24,Fuse,26.939190782204278
24,CSRT,27.113096466468008
24,KCF,29.16024691253488
24,MIL,25.966131787387972
24,BOOSTING,32.51461209979292
24,MEDIANFLOW,25.142792207708354
24,MOSSE,28.558419657490386
25,Fuse,26.488749426008134
