Frame,Tracker,Is_inside
21,BOOSTING,True
21,MEDIANFLOW,True
21,MOSSE,True
22,Fused,True
22,CSRT,True
22,KCF,True
22,MIL,True
22,BOOSTING,True
22,MEDIANFLOW,True
22,MOSSE,True
23,Fused,True
23,CSRT,True
23,KCF,True
23,MIL,True
23,BOOSTING,True
23,MEDIANFLOW,True
23,MOSSE,True
24,Fused,True
24,CSRT,True
24,KCF,True
24,MIL,True
24,BOOSTING,True
24,MEDIANFLOW,True
24,MOSSE,True
25,Fused,True
25,CSRT,True
25,KCF,True
25,MIL,True
25,BOOSTING,True
25,MEDIANFLOW,True
25,MOSSE,True
26,Fused,True
26,CSRT,True
26,KCF,True
26,MIL,True
26,BOOSTING,True
26,MEDIANFLOW,True
26,MOSSE,True
27,Fused,True
27,CSRT,True
27,KCF,False
27,MIL,True
27,BOOSTING,True
27,MEDIANFLOW,False
27,MOSSE,False
28,Fused,True
28,CSRT,True
28,KCF,True
28,MIL,True
28,BOOSTING,True
28,MEDIANFLOW,True
28,MOSSE,True
29,Fused,True
29,CSRT,True
29,KCF,True
29,MIL,True
29,BOOSTING,True
29,MEDIANFLOW,True
29,MOSSE,True
30,Fused,True
30,CSRT,True
30,KCF,True
30,MIL,True
30,BOOSTING,True
30,MEDIANFLOW,True
30,MOSSE,True
31,Fused,True
31,CSRT,True
31,KCF,True
31,MIL,True
31,BOOSTING,True
31,MEDIANFLOW,True
31,MOSSE,True
32,Fused,True
32,CSRT,True
32,KCF,True
32,MIL,True
32,BOOSTING,False
32,MEDIANFLOW,True
32,MOSSE,True
33,Fused,True
33,CSRT,True
33,KCF,True
33,MIL,True
33,BOOSTING,True
33,MEDIANFLOW,True
33,MOSSE,True
34,Fused,True
34,CSRT,True
34,KCF,True
34,MIL,True
34,BOOSTING,False
34,MEDIANFLOW,True
34,MOSSE,True
35,Fused,True
35,CSRT,False
35,KCF,True
35,MIL,True
35,BOOSTING,False
35,MEDIANFLOW,True
35,MOSSE,True
36,Fused,True
36,CSRT,False
36,KCF,True
36,MIL,True
36,BOOSTING,False
36,MEDIANFLOW,True
36,MOSSE,True
37,Fused,True
37,CSRT,True
37,KCF,True
37,MIL,True
37,BOOSTING,False
37,MEDIANFLOW,True
37,MOSSE,True
38,Fused,True
38,CSRT,True
38,KCF,True
38,MIL,True
38,BOOSTING,True
38,MEDIANFLOW,True
38,MOSSE,True
39,Fused,True
39,CSRT,True
39,KCF,True
39,MIL,True
39,BOOSTING,False
39,MEDIANFLOW,True
39,MOSSE,True
40,Fused,True
40,CSRT,True
40,KCF,True
40,MIL,True
40,BOOSTING,False
40,MEDIANFLOW,True
40,MOSSE,True
41,Fused,True
41,CSRT,True
41,KCF,True
41,MIL,True
41,BOOSTING,True
41,MEDIANFLOW,True
41,MOSSE,True
42,Fused,True
42,CSRT,True
42,KCF,True
42,MIL,True
42,BOOSTING,False
42,MEDIANFLOW,True
43,Fused,True
43,CSRT,True
43,KCF,True
43,MIL,True
43,BOOSTING,True
43,MEDIANFLOW,True
43,MOSSE,True
44,Fused,True
44,CSRT,True
44,KCF,True
44,MIL,True
44,BOOSTING,True
44,MEDIANFLOW,True
44,MOSSE,True
45,Fused,True
45,CSRT,True
45,KCF,True
45,MIL,True
45,BOOSTING,True
45,MEDIANFLOW,True
45,MOSSE,True
46,Fused,True
46,CSRT,True
46,KCF,True
46,MIL,True
46,BOOSTING,True
46,MEDIANFLOW,True
46,MOSSE,True
47,Fused,True
47,CSRT,True
47,KCF,True
47,MIL,True
47,BOOSTING,True
47,MEDIANFLOW,True
47,MOSSE,True
48,Fused,True
48,CSRT,True
48,KCF,True
48,MIL,True
48,BOOSTING,True
48,MEDIANFLOW,True
48,MOSSE,True
49,Fused,True
49,CSRT,True
49,KCF,True
49,MIL,True
49,BOOSTING,True
49,MEDIANFLOW,True
49,MOSSE,True
