Frame,Tracker,x,y,w,h
83,CSRT,190,376,470,264
83,KCF,190,376,470,264
83,MIL,190,376,470,264
83,BOOSTING,190,376,470,264
83,MEDIANFLOW,190,376,470,264
83,MOSSE,190,376,470,264
111,CSRT,498,439,403,204
111,KCF,498,439,403,204
111,MIL,498,439,403,204
111,BOOSTING,498,439,403,204
111,MEDIANFLOW,498,439,403,204
111,MOSSE,498,439,403,204
154,CSRT,849,234,174,295
154,KCF,849,234,174,295
154,MIL,849,234,174,295
154,BOOSTING,849,234,174,295
154,MEDIANFLOW,849,234,174,295
154,MOSSE,849,234,174,295
250,CSRT,415,490,175,230
250,KCF,415,490,175,230
250,MIL,415,490,175,230
250,BOOSTING,415,490,175,230
250,MEDIANFLOW,415,490,175,230
250,MOSSE,415,490,175,230
299,CSRT,630,453,295,175
299,KCF,630,453,295,175
299,MIL,630,453,295,175
299,BOOSTING,630,453,295,175
299,MEDIANFLOW,630,453,295,175
299,MOSSE,630,453,295,175
348,CSRT,928,450,321,149
348,KCF,928,450,321,149
348,MIL,928,450,321,149
348,BOOSTING,928,450,321,149
348,MEDIANFLOW,928,450,321,149
348,MOSSE,928,450,321,149
370,CSRT,1159,395,260,148
370,KCF,1159,395,260,148
370,MIL,1159,395,260,148
370,BOOSTING,1159,395,260,148
370,MEDIANFLOW,1159,395,260,148
370,MOSSE,1159,395,260,148
397,CSRT,1332,319,202,189
397,KCF,1332,319,202,189
397,MIL,1332,319,202,189
397,BOOSTING,1332,319,202,189
397,MEDIANFLOW,1332,319,202,189
397,MOSSE,1332,319,202,189
