Frame,Tracker,x,y,w,h
74,KCF,311,314,295,303
74,MIL,311,314,295,303
74,BOOSTING,311,314,295,303
74,MEDIANFLOW,311,314,295,303
74,MOSSE,311,314,295,303
130,CSRT,756,359,311,203
130,KCF,756,359,311,203
130,MIL,756,359,311,203
130,BOOSTING,756,359,311,203
130,MEDIANFLOW,756,359,311,203
130,MOSSE,756,359,311,203
136,CSRT,820,321,248,208
136,KCF,820,321,248,208
136,MIL,820,321,248,208
136,BOOSTING,820,321,248,208
136,MEDIANFLOW,820,321,248,208
136,MOSSE,820,321,248,208
153,CSRT,864,220,176,328
153,KCF,864,220,176,328
153,MIL,864,220,176,328
153,BOOSTING,864,220,176,328
153,MEDIANFLOW,864,220,176,328
153,MOSSE,864,220,176,328
238,CSRT,411,416,314,276
238,KCF,411,416,314,276
238,MIL,411,416,314,276
238,BOOSTING,411,416,314,276
238,MEDIANFLOW,411,416,314,276
238,MOSSE,411,416,314,276
239,CSRT,411,416,298,276
239,KCF,411,416,298,276
239,MIL,411,416,298,276
239,BOOSTING,411,416,298,276
239,MEDIANFLOW,411,416,298,276
239,MOSSE,411,416,298,276
245,CSRT,425,450,156,276
245,KCF,425,450,156,276
245,MIL,425,450,156,276
245,BOOSTING,425,450,156,276
245,MEDIANFLOW,425,450,156,276
245,MOSSE,425,450,156,276
247,CSRT,425,460,156,276
247,KCF,425,460,156,276
247,MIL,425,460,156,276
247,BOOSTING,425,460,156,276
247,MEDIANFLOW,425,460,156,276
247,MOSSE,425,460,156,276
248,CSRT,425,460,156,276
248,KCF,425,460,156,276
248,MIL,425,460,156,276
248,BOOSTING,425,460,156,276
248,MEDIANFLOW,425,460,156,276
248,MOSSE,425,460,156,276
307,CSRT,675,452,314,202
307,KCF,675,452,314,202
307,MIL,675,452,314,202
307,BOOSTING,675,452,314,202
307,MEDIANFLOW,675,452,314,202
307,MOSSE,675,452,314,202
331,CSRT,833,460,288,184
331,KCF,833,460,288,184
331,MIL,833,460,288,184
331,BOOSTING,833,460,288,184
331,MEDIANFLOW,833,460,288,184
331,MOSSE,833,460,288,184
351,CSRT,981,446,288,184
351,KCF,981,446,288,184
351,MIL,981,446,288,184
351,BOOSTING,981,446,288,184
351,MEDIANFLOW,981,446,288,184
351,MOSSE,981,446,288,184
366,CSRT,1103,398,288,184
366,KCF,1103,398,288,184
366,MIL,1103,398,288,184
366,BOOSTING,1103,398,288,184
366,MEDIANFLOW,1103,398,288,184
366,MOSSE,1103,398,288,184
373,CSRT,1167,370,288,184
373,KCF,1167,370,288,184
373,MIL,1167,370,288,184
373,BOOSTING,1167,370,288,184
373,MEDIANFLOW,1167,370,288,184
373,MOSSE,1167,370,288,184
374,CSRT,1173,362,288,184
374,KCF,1173,362,288,184
374,MIL,1173,362,288,184
374,BOOSTING,1173,362,288,184
374,MEDIANFLOW,1173,362,288,184
374,MOSSE,1173,362,288,184
437,CSRT,1465,228,454,296
437,KCF,1465,228,454,296
437,MIL,1465,228,454,296
437,BOOSTING,1465,228,454,296
437,MEDIANFLOW,1465,228,454,296
437,MOSSE,1465,228,454,296
