Frame,Tracker,x,y,w,h
26,CSRT,376,346,179,253
26,KCF,376,346,179,253
26,MIL,376,346,179,253
26,BOOSTING,376,346,179,253
26,MEDIANFLOW,376,346,179,253
26,MOSSE,376,346,179,253
161,CSRT,811,200,159,312
161,KCF,811,200,159,312
161,MIL,811,200,159,312
161,BOOSTING,811,200,159,312
161,MEDIANFLOW,811,200,159,312
161,MOSSE,811,200,159,312
238,MOSSE,399,406,315,259
239,MEDIANFLOW,412,449,282,224
243,MEDIANFLOW,426,465,152,256
245,MIL,430,489,122,219
245,MOSSE,430,489,122,219
246,CSRT,423,487,139,211
247,MOSSE,435,495,122,201
254,BOOSTING,401,512,204,203
279,CSRT,491,477,261,186
293,KCF,595,473,282,151
350,CSRT,962,461,298,132
350,KCF,962,461,298,132
350,MIL,962,461,298,132
350,BOOSTING,962,461,298,132
350,MEDIANFLOW,962,461,298,132
350,MOSSE,962,461,298,132
357,CSRT,1037,441,287,138
357,KCF,1037,441,287,138
357,MIL,1037,441,287,138
357,BOOSTING,1037,441,287,138
357,MEDIANFLOW,1037,441,287,138
357,MOSSE,1037,441,287,138
361,MEDIANFLOW,1074,432,279,127
368,CSRT,1158,408,249,136
368,KCF,1158,408,249,136
368,MIL,1158,408,249,136
368,BOOSTING,1158,408,249,136
368,MEDIANFLOW,1158,408,249,136
368,MOSSE,1158,408,249,136
371,MOSSE,1160,389,261,147
391,MOSSE,1295,323,220,193
