Frame,Tracker,x,y,w,h
5,MOSSE,128,566,198,155
19,CSRT,271,498,99,153
19,KCF,271,498,99,153
19,BOOSTING,271,498,99,153
19,MOSSE,271,498,99,153
57,CSRT,272,351,415,247
57,KCF,272,351,415,247
57,MIL,272,351,415,247
57,BOOSTING,272,351,415,247
57,MEDIANFLOW,272,351,415,247
57,MOSSE,272,351,415,247
