Frame,Tracker,IoU
29,KCF,0.8091298910130427
29,MIL,0.8091298910130427
29,BOOSTING,0.8091298910130427
29,MEDIANFLOW,0.8580310880829015
29,MOSSE,0.8232981954618546
29,Fused,0.7621546670411065
30,CSRT,0.7286858219500707
30,KCF,0.8204463929852531
30,MIL,0.8204463929852531
30,BOOSTING,0.8204463929852531
30,MEDIANFLOW,0.8506829957607159
30,MOSSE,0.8348128555382441
30,Fused,0.7770897832817337
31,CSRT,0.7881700772542313
31,KCF,0.7919449081803005
31,MIL,0.7919449081803005
31,BOOSTING,0.7919449081803005
31,MEDIANFLOW,0.7955994014299175
31,MOSSE,0.7968307866440294
31,Fused,0.7957643111763473
32,CSRT,0.7789887980623675
32,KCF,0.7708002511171018
32,MIL,0.8045196251834569
32,BOOSTING,0.8045196251834569
32,MEDIANFLOW,0.8271767810026385
32,MOSSE,0.8272108843537415
32,Fused,0.7989515072083879
33,CSRT,0.6765604539502401
33,KCF,0.7059768036415789
33,MIL,0.7059768036415789
33,BOOSTING,0.7059768036415789
33,MEDIANFLOW,0.7555964332481138
33,MOSSE,0.7115086019501894
33,Fused,0.7087672257903598
34,CSRT,0.672180404547285
34,KCF,0.7014063129201128
34,MIL,0.7014063129201128
34,BOOSTING,0.6947654237183541
34,MEDIANFLOW,0.7574271170754281
34,MOSSE,0.6869339838389998
34,Fused,0.6908750038417801
35,CSRT,0.6318793314309009
35,KCF,0.6593529788597053
35,MIL,0.6593529788597053
35,BOOSTING,0.6593529788597053
35,MEDIANFLOW,0.7030021547958768
35,MOSSE,0.670898608118339
35,Fused,0.6619591171160678
36,CSRT,0.6170227260341163
36,KCF,0.6170227260341163
36,MIL,0.6170227260341163
36,BOOSTING,0.6170227260341163
36,MEDIANFLOW,0.6518066379639217
36,MOSSE,0.6278271295438443
36,Fused,0.622922230094283
37,CSRT,0.6332068864896411
37,KCF,0.6607382550335571
37,MIL,0.6607382550335571
37,BOOSTING,0.6607382550335571
37,MEDIANFLOW,0.676043186460461
37,MOSSE,0.6723081412313977
37,Fused,0.6570469798657718
38,CSRT,0.6407328805885681
38,KCF,0.6407328805885681
38,MIL,0.6407328805885681
38,BOOSTING,0.6407328805885681
38,MEDIANFLOW,0.661771363893605
38,MOSSE,0.6519524617996605
38,Fused,0.6432654216185625
39,CSRT,0.6319529384355524
39,KCF,0.6594297862426466
39,MIL,0.6594297862426466
39,BOOSTING,0.6594297862426466
39,MEDIANFLOW,0.6810821830042518
39,MOSSE,0.6709767604403285
39,Fused,0.6594297862426466
40,CSRT,0.5360074626865672
40,KCF,0.5921113566296624
40,MIL,0.6035047974413646
40,BOOSTING,0.6035047974413646
40,MEDIANFLOW,0.6174840085287846
40,MOSSE,0.6102100505184791
40,Fused,0.5920442430703625
41,CSRT,0.4655453065653825
41,KCF,0.5460541387833846
41,MIL,0.5460541387833846
41,BOOSTING,0.5460541387833846
41,MEDIANFLOW,0.5639838427684332
41,MOSSE,0.555615843733044
41,Fused,0.5356845722553807
42,CSRT,0.4777992277992278
42,KCF,0.5604271854271854
42,MIL,0.5604271854271854
42,BOOSTING,0.5604271854271854
42,MEDIANFLOW,0.5734085734085734
42,MOSSE,0.5702405702405703
42,Fused,0.5475942975942976
43,CSRT,0.45063025210084034
43,KCF,0.5285597572362278
43,MIL,0.5285597572362278
43,BOOSTING,0.5285597572362278
43,MEDIANFLOW,0.5480392156862746
43,MOSSE,0.5378151260504201
43,Fused,0.5185224089635855
44,CSRT,0.5388366422849181
44,KCF,0.6066902446212791
44,MIL,0.6066902446212791
44,BOOSTING,0.6066902446212791
44,MEDIANFLOW,0.6290491118077325
44,MOSSE,0.6173137207619966
44,Fused,0.5985317364627709
45,CSRT,0.44991051454138703
45,KCF,0.5065659955257271
45,MIL,0.5065659955257271
45,BOOSTING,0.5065659955257271
45,MEDIANFLOW,0.525234899328859
45,MOSSE,0.5154362416107383
45,Fused,0.49975391498881433
46,CSRT,0.4221918743598498
46,KCF,0.5153863662228292
46,MIL,0.5153863662228292
46,BOOSTING,0.5153863662228292
46,MEDIANFLOW,0.5465346534653466
46,MOSSE,0.5244110617958347
46,Fused,0.5035848412427449
47,CSRT,0.462533692722372
47,KCF,0.5425217130877509
47,MIL,0.5425217130877509
47,BOOSTING,0.5425217130877509
47,MEDIANFLOW,0.5625157232704403
47,MOSSE,0.5520215633423181
47,Fused,0.532219227313567
