Frame,Tracker,IoU
0,Fused,0.8491321762349799
1,Fused,0.8482230069877527
2,Fused,0.8864589955499046
3,Fused,0.8191095991717202
4,Fused,0.7536361656300671
5,Fused,0.7707152333855989
6,Fused,0.7849869071864999
7,Fused,0.8408920820236492
8,Fused,0.9318715740015662
9,Fused,0.8956813502452912
10,Fused,0.8925407042786823
11,Fused,0.8232625135037811
12,Fused,0.9112184810508833
13,Fused,0.9020926756352765
14,Fused,0.854230081654346
15,Fused,0.8505111244738425
16,Fused,0.854230081654346
17,Fused,0.796507817620073
18,Fused,0.7902189680182358
19,Fused,0.8055373984499019
20,Fused,0.6499871696176546
21,Fused,0.6309448319594166
22,Fused,0.5380715143806092
23,Fused,0.5152409046214356
24,Fused,0.49157537863945344
25,Fused,0.4985899516329778
26,Fused,0.758823096456041
27,Fused,0.6538591409124029
28,Fused,0.708464171047525
29,Fused,0.7621546670411065
30,Fused,0.7770897832817337
31,Fused,0.7957643111763473
32,Fused,0.7989515072083879
33,Fused,0.7087672257903598
34,Fused,0.6908750038417801
35,Fused,0.6619591171160678
36,Fused,0.622922230094283
37,Fused,0.6570469798657718
38,Fused,0.6432654216185625
39,Fused,0.6594297862426466
40,Fused,0.5920442430703625
41,Fused,0.5356845722553807
42,Fused,0.5475942975942976
43,Fused,0.5185224089635855
44,Fused,0.5985317364627709
45,Fused,0.49975391498881433
46,Fused,0.5035848412427449
47,Fused,0.532219227313567
48,Fused,0.6150768378789977
49,Fused,0.5729166666666666
50,Fused,0.6644518272425249
51,Fused,0.720824916921874
52,Fused,0.6933080208827717
53,Fused,0.6262626262626263
54,Fused,0.6661216580373633
55,Fused,0.6774990468928708
56,Fused,0.6699892982724354
57,Fused,0.6663637740421021
58,Fused,0.6293838862559241
59,Fused,0.6759337264813254
60,Fused,0.6689540828075347
61,Fused,0.7014492753623188
62,Fused,0.6788137147048038
63,Fused,0.6505917812247298
64,Fused,0.6401726308217947
65,Fused,0.6239309037286708
66,Fused,0.64170252354925
67,Fused,0.583685621487859
68,Fused,0.5803793412789953
69,Fused,0.5380591715976332
70,Fused,0.5512633978369466
71,Fused,0.5366851797719965
72,Fused,0.5657969956820531
73,Fused,0.5217681178745249
74,Fused,0.5147508305647841
75,Fused,0.4450347478791167
76,Fused,0.4118767313019391
77,Fused,0.37697446910045335
78,Fused,0.41717325227963525
79,Fused,0.3859240924092409
80,Fused,0.3229136296111181
81,Fused,0.2963281478933354
82,Fused,0.31562841381743667
83,Fused,0.3087548121598301
84,Fused,0.2742917226473509
85,Fused,0.2733978630380398
86,Fused,0.2740802082101029
87,Fused,0.26990534440075725
88,Fused,0.27359210338085926
89,Fused,0.2775441749026655
90,Fused,0.2784687253533944
91,Fused,0.28523489932885904
92,Fused,0.29338446788111217
