Tracker,RMSE
Fuse,44.23267059518408
CSRT,52.073004069373496
KCF,58.610683237923894
MIL,66.73396080455346
BOOSTING,50.84955388245646
MEDIANFLOW,55.505095121219135
MOSSE,93.22386160255873
