Frame,Tracker,Rmse
17,Fuse,13.299958228840001
17,CSRT,12.916397846665042
17,KCF,23.298783945376492
17,MIL,16.112452051475934
17,BOOSTING,15.356865999719258
17,MEDIANFLOW,15.798361791468052
17,MOSSE,14.920157878223378
18,Fuse,13.473170220459387
18,CSRT,12.798026163600797
18,KCF,24.19547587115366
18,MIL,16.54817528500221
18,BOOSTING,15.033296378372908
18,MEDIANFLOW,16.200137173630488
18,MOSSE,15.190024427408376
19,Fuse,13.590437814875575
19,CSRT,12.722028140198402
19,KCF,24.711333432253305
19,MIL,16.774981371077583
19,BOOSTING,14.674808346278326
19,MEDIANFLOW,16.351404253232552
19,MOSSE,15.506450270774417
20,Fuse,14.877275736280932
20,CSRT,13.488972568449421
20,KCF,26.06128308795398
20,MIL,17.63114128061887
20,BOOSTING,16.11269833451392
20,MEDIANFLOW,16.995587662684688
20,MOSSE,16.736046071137533
21,Fuse,16.13015245376863
21,CSRT,14.16942932064405
21,KCF,27.165318799059683
21,MIL,18.591298062167784
21,BOOSTING,17.468152839850113
21,MEDIANFLOW,17.534999015574265
21,MOSSE,17.764878527333337
22,Fuse,17.461759461127073
22,CSRT,15.026064311577139
22,KCF,28.183405539893275
22,MIL,19.60589973318812
22,BOOSTING,17.99275216399044
22,MEDIANFLOW,18.638913351080607
22,MOSSE,19.588150810475017
23,Fuse,19.123502119991866
23,CSRT,16.141303127897284
23,KCF,29.506355247641142
23,MIL,20.70225430559033
23,BOOSTING,19.17354948881401
23,MEDIANFLOW,19.76822219360285
23,MOSSE,21.468969855739857
24,Fuse,20.79711518456346
24,CSRT,17.835918815693237
24,KCF,30.734345608781066
24,MIL,21.87875682025832
24,BOOSTING,20.26622806542944
24,MEDIANFLOW,20.91849261618373
24,MOSSE,23.465719677862
25,Fuse,22.224380237097208
25,CSRT,18.860826313573043
25,KCF,31.81436540548697
25,MIL,23.05178117596589
25,BOOSTING,21.400934559032695
25,MEDIANFLOW,21.43641761115882
25,MOSSE,24.998461491121347
26,Fuse,22.067237320583722
26,CSRT,18.771530847812343
26,KCF,31.395918583530943
26,MIL,22.863524241479936
26,BOOSTING,21.262033629784195
26,MEDIANFLOW,21.29102374963901
26,MOSSE,24.72665378508397
27,Fuse,22.133523378415312
27,CSRT,18.607794065928395
27,KCF,30.97118476445946
27,MIL,22.61004833507186
27,BOOSTING,21.050958580142073
27,MEDIANFLOW,21.10818693198342
27,MOSSE,24.416768242922146
28,Fuse,22.0391501181655
28,CSRT,18.31901217032599
28,KCF,30.46875165782489
28,MIL,22.282666837237198
28,BOOSTING,20.741429472235613
28,MEDIANFLOW,20.798351583032453
28,MOSSE,24.06815036659372
29,Fuse,21.828116425075862
29,CSRT,18.01573386422731
29,KCF,29.97054109176765
29,MIL,21.923351325318247
29,BOOSTING,20.4132310034448
29,MEDIANFLOW,20.467804828138227
29,MOSSE,23.714271371194744
30,Fuse,21.689896562759948
30,CSRT,17.78455292046008
30,KCF,29.541114050672473
30,MIL,21.660131355155276
30,BOOSTING,20.147040125200814
30,MEDIANFLOW,20.250102880397094
30,MOSSE,23.430749027719962
31,Fuse,21.462904043954538
31,CSRT,17.551709318468102
31,KCF,29.123658767400773
31,MIL,21.395092895334667
31,BOOSTING,19.911523045714006
31,MEDIANFLOW,20.02176235354759
31,MOSSE,23.14964902541721
32,Fuse,21.290914266490066
32,CSRT,17.397317800933184
32,KCF,28.774462583507916
32,MIL,21.215346075209546
32,BOOSTING,19.74611584360557
32,MEDIANFLOW,19.878537421047856
32,MOSSE,22.92874337436033
33,Fuse,21.090142665403164
33,CSRT,17.18412399999077
33,KCF,28.37511337111324
33,MIL,21.002800933657003
33,BOOSTING,19.541810380340316
33,MEDIANFLOW,19.662300491195342
33,MOSSE,22.751211990986842
34,Fuse,21.051637194561106
34,CSRT,17.099707599839242
34,KCF,28.020910559284626
34,MIL,20.93186224736961
34,BOOSTING,19.500183149323057
34,MEDIANFLOW,19.547077410552138
34,MOSSE,22.72820777297296
35,Fuse,21.10358052822106
35,CSRT,17.126165815954124
35,KCF,27.731850921919285
35,MIL,20.864643139371765
35,BOOSTING,19.53984533090156
35,MEDIANFLOW,19.528001872768684
35,MOSSE,22.769375143917422
36,Fuse,20.943940618915263
36,CSRT,16.980115556860156
36,KCF,27.380205910030618
36,MIL,20.660054158637575
36,BOOSTING,19.346764517543942
36,MEDIANFLOW,19.327585352432298
36,MOSSE,22.594546101073007
37,Fuse,20.87998285944043
37,CSRT,16.979864236020386
37,KCF,27.124954523367165
37,MIL,20.564404607041393
37,BOOSTING,19.30775682683544
37,MEDIANFLOW,19.223437271740465
37,MOSSE,22.533016711156613
38,Fuse,20.676383158396455
38,CSRT,16.877385871222884
38,KCF,26.84428029609631
38,MIL,20.372178111965372
38,BOOSTING,19.119060163576595
38,MEDIANFLOW,19.031137919901578
38,MOSSE,22.327974864247352
39,Fuse,20.52681173489931
39,CSRT,16.838942959699104
39,KCF,26.591351977663717
39,MIL,20.24104740372889
39,BOOSTING,19.04337155022713
39,MEDIANFLOW,18.87815180002045
39,MOSSE,22.183890551479017
40,Fuse,20.38172304164546
40,CSRT,16.825503290410357
40,KCF,26.40630006128896
40,MIL,20.09004121692041
40,BOOSTING,18.92475472663819
40,MEDIANFLOW,18.760996775224925
40,MOSSE,22.006096716204052
41,Fuse,20.298956107337613
41,CSRT,16.869950743711083
41,KCF,26.290954446620717
41,MIL,19.99583289921511
41,BOOSTING,18.9114477801901
41,MEDIANFLOW,18.743454141932638
41,MOSSE,21.8136043177952
42,Fuse,20.117677058561164
42,CSRT,16.81983878472639
42,KCF,26.060751921187432
42,MIL,19.81894794570132
42,BOOSTING,18.743060731411916
42,MEDIANFLOW,18.560069786404103
42,MOSSE,21.65801854837742
43,Fuse,19.92656974539727
43,CSRT,16.76373249824535
43,KCF,25.83778065335545
43,MIL,19.630102116161012
43,BOOSTING,18.612068421029697
43,MEDIANFLOW,18.399317479758054
43,MOSSE,21.455556601750256
44,Fuse,19.785516588319513
44,CSRT,16.774981371077583
44,KCF,25.650644349714796
44,MIL,19.493588689617926
44,BOOSTING,18.491439460824388
44,MEDIANFLOW,18.270069910798224
44,MOSSE,21.32135080148535
45,Fuse,19.682810863244633
45,CSRT,16.8116160669523
45,KCF,25.543228490915755
45,MIL,19.403047721158785
45,BOOSTING,18.44380419120411
45,MEDIANFLOW,18.27262676488766
45,MOSSE,21.12540197713767
46,Fuse,19.657168039144118
46,CSRT,16.900837194421477
46,KCF,25.512199835089326
46,MIL,19.394010920242057
46,BOOSTING,18.391718765491607
46,MEDIANFLOW,18.351045462458465
46,MOSSE,20.95841881318665
47,Fuse,19.469527472437537
47,CSRT,16.73506797117956
47,KCF,25.265671704244607
47,MIL,19.195811175010725
47,BOOSTING,18.238009759839475
47,MEDIANFLOW,18.222618631449052
47,MOSSE,20.751505969447134
48,Fuse,19.407025868515365
48,CSRT,16.823210400017746
48,KCF,25.15137842613589
48,MIL,19.145522202545514
48,BOOSTING,18.251083277885904
48,MEDIANFLOW,18.2414363469547
48,MOSSE,20.636306424773373
49,Fuse,19.266032284827098
49,CSRT,16.705089044958726
49,KCF,24.95996794869737
49,MIL,18.991577080379606
49,BOOSTING,18.14331832934648
49,MEDIANFLOW,18.16702552226232
49,MOSSE,20.431348462595412
50,Fuse,19.11984904362428
50,CSRT,16.630942104827305
50,KCF,24.78574859336174
50,MIL,18.84612614274444
50,BOOSTING,18.028300192839513
50,MEDIANFLOW,18.059900331950896
50,MOSSE,20.258138040371456
51,Fuse,18.99443238263417
51,CSRT,16.606300935766242
51,KCF,24.60300169303925
51,MIL,18.713939683068833
51,BOOSTING,17.93417451082194
51,MEDIANFLOW,17.9634705586032
51,MOSSE,20.097359183580465
52,Fuse,18.896440715068888
52,CSRT,16.629707448157973
52,KCF,24.43049439949535
52,MIL,18.660320125062466
52,BOOSTING,17.862155630650655
52,MEDIANFLOW,17.833093695969602
52,MOSSE,20.081437970010917
53,Fuse,18.8910129524695
53,CSRT,16.797817318528818
53,KCF,24.304396797775166
53,MIL,18.719666821979658
53,BOOSTING,17.88802620418143
53,MEDIANFLOW,17.771611876226796
53,MOSSE,20.18525314293691
54,Fuse,18.90069743782921
54,CSRT,16.96145362552718
54,KCF,24.210441023357145
54,MIL,18.81343813728513
54,BOOSTING,17.92864645299147
54,MEDIANFLOW,17.712205459011088
54,MOSSE,20.284790540518955
55,Fuse,18.809192281587062
55,CSRT,16.96161633133554
55,KCF,24.041630560342615
55,MIL,18.764042360703776
55,BOOSTING,17.85007002787384
55,MEDIANFLOW,17.582015604795508
55,MOSSE,20.232134976672278
56,Fuse,18.773348036278133
56,CSRT,17.036596316021804
56,KCF,23.918722021836675
56,MIL,18.791095315544933
56,BOOSTING,17.816314226898307
56,MEDIANFLOW,17.490813915554973
56,MOSSE,20.27356761548517
57,Fuse,18.73867474061287
57,CSRT,17.1388850077928
57,KCF,23.802347030029015
57,MIL,18.80755534169804
