Frame,Tracker,Rmse
29,MIL,21.60632623407629
29,BOOSTING,19.35027992906907
29,MEDIANFLOW,39.89512112596191
29,MOSSE,26.979930812859152
30,Fuse,17.195273168950784
30,CSRT,17.514970555167572
30,KCF,22.586036222809536
30,MIL,21.35340117956584
30,BOOSTING,19.25466009785348
30,MEDIANFLOW,40.245496642481626
30,MOSSE,26.570660511172846
31,Fuse,17.162823194334898
31,CSRT,17.605929398926943
31,KCF,22.456903170294876
31,MIL,21.202152013415997
31,BOOSTING,19.224008426964446
31,MEDIANFLOW,40.88220687181255
31,MOSSE,26.32270152139813
32,Fuse,17.123437774352475
32,CSRT,17.684096604782297
32,KCF,22.334916271356043
32,MIL,21.01875064764504
32,BOOSTING,19.200694431886227
32,MEDIANFLOW,41.41897210216594
32,MOSSE,26.091008810330443
33,Fuse,17.228567247794132
33,CSRT,17.690143483606576
33,KCF,22.117334165496423
33,MIL,21.113837113302235
33,BOOSTING,19.054102538020828
33,MEDIANFLOW,42.36457925859262
33,MOSSE,25.982136720666922
34,Fuse,17.037773161000654
34,CSRT,17.631951516656184
34,KCF,21.847523560218118
34,MIL,20.93390960686922
34,BOOSTING,18.95031096616321
34,MEDIANFLOW,42.76061959601725
34,MOSSE,25.60643776811632
35,Fuse,16.881943016134134
35,CSRT,17.699654736117814
35,KCF,21.675639167815405
35,MIL,20.6801031589948
35,BOOSTING,19.133304297306655
35,MEDIANFLOW,43.0262378422416
35,MOSSE,25.32916632395679
36,Fuse,16.694391354664678
36,CSRT,17.812082143036232
36,KCF,21.506755695374896
36,MIL,20.454960410751358
36,BOOSTING,19.309709082864632
36,MEDIANFLOW,43.307364013268895
36,MOSSE,25.026437633933465
37,Fuse,16.575187543592477
37,CSRT,17.921612944328302
37,KCF,21.365860619221497
37,MIL,20.2491065429928
37,BOOSTING,19.482785924205526
37,MEDIANFLOW,43.72024084402394
37,MOSSE,24.79667316395488
38,Fuse,16.376969445081354
38,CSRT,17.852673433353022
38,KCF,21.21441213070214
38,MIL,20.228185464333848
38,BOOSTING,19.590683290658134
38,MEDIANFLOW,44.19603459230489
38,MOSSE,24.426140989447426
39,Fuse,16.19104690870853
39,CSRT,17.764430753615496
39,KCF,21.06952775930206
39,MIL,20.223130321490785
39,BOOSTING,19.67866865415443
39,MEDIANFLOW,44.737983632336174
39,MOSSE,24.0654744150937
40,Fuse,16.0661741313703
40,CSRT,18.043308333278464
40,KCF,21.101959220101563
40,MIL,20.24303553830003
40,BOOSTING,20.195990908605793
40,MEDIANFLOW,45.05496642990648
40,MOSSE,23.815361189186877
41,Fuse,15.913456420215416
41,CSRT,18.427463975583525
41,KCF,21.112510396399934
41,MIL,20.139395176996704
41,BOOSTING,20.837809043042068
41,MEDIANFLOW,45.52110204847107
41,MOSSE,23.69950773047125
42,Fuse,15.82829377162713
42,CSRT,19.023852836483623
42,KCF,21.26849400426138
42,MIL,20.394367667523785
42,BOOSTING,21.882349263786224
42,MEDIANFLOW,46.03518323237234
42,MOSSE,23.8310494716225
43,Fuse,16.052470781216773
43,CSRT,20.451716976154525
43,KCF,21.924975380933624
43,MIL,20.414455662593603
43,BOOSTING,23.9611427865276
43,MEDIANFLOW,46.16779306268678
