Tracker,RMSE
Fuse,39.43961975675446
CSRT,62.339433090402636
KCF,45.47129485139152
MIL,77.60355323958971
BOOSTING,75.85609758604517
MEDIANFLOW,56.97551189084553
MOSSE,107.45018779482359
