Tracker,RMSE
Fuse,36.37915093773932
CSRT,64.05677553392208
KCF,42.886600520461876
MIL,82.36563822769625
BOOSTING,64.23152282633632
MEDIANFLOW,45.33517153135938
MOSSE,85.0208392304397
