Frame,Tracker,IoU
24,CSRT,0.6982857142857143
24,KCF,0.7717758985200845
24,MIL,0.46789141310588045
24,BOOSTING,0.8243265306122449
24,MEDIANFLOW,0.3102340523175769
24,MOSSE,0.6780393003670914
24,Fused,0.709375417948375
25,CSRT,0.7784911717495987
25,KCF,0.8104333868378812
25,MIL,0.4980029955067399
25,BOOSTING,0.8104333868378812
25,MEDIANFLOW,0.3398863172439783
25,MOSSE,0.702303346371143
25,Fused,0.7101264711048656
26,CSRT,0.7168987168987169
26,KCF,0.6891891891891891
26,MIL,0.5129119138149556
26,BOOSTING,0.6891891891891891
26,MEDIANFLOW,0.3467600195925894
26,MOSSE,0.6547665445475096
26,Fused,0.663662960795787
27,CSRT,0.7773767110444403
27,KCF,0.724563501554652
27,MIL,0.5668264407535392
27,BOOSTING,0.724563501554652
27,MEDIANFLOW,0.35754708767449284
27,MOSSE,0.6302934804018121
27,Fused,0.6451360344490116
28,CSRT,0.7672634271099744
28,KCF,0.7329520457545095
28,MIL,0.5014171187950441
28,BOOSTING,0.7460106382978723
28,MEDIANFLOW,0.3268347973930292
28,MOSSE,0.6246016571064372
28,Fused,0.6428543190353825
29,CSRT,0.6359470103831006
29,KCF,0.5423200859291085
29,MIL,0.5313044741429401
29,BOOSTING,0.5423200859291085
29,MEDIANFLOW,0.32262864823348697
29,MOSSE,0.5961094625783053
29,Fused,0.6124364489636293
30,CSRT,0.7917675544794189
30,KCF,0.7032359905288083
30,MIL,0.5675884315293209
30,BOOSTING,0.7032359905288083
30,MEDIANFLOW,0.4340852708705937
30,MOSSE,0.7911675689500831
30,Fused,0.814281516309139
31,CSRT,0.5822933333333333
31,KCF,0.53856
31,MIL,0.5638541743695925
31,BOOSTING,0.53856
31,MEDIANFLOW,0.3716583351445338
31,MOSSE,0.5757821364888961
31,Fused,0.5968152660928988
32,CSRT,0.6577636757972528
32,KCF,0.6083621174391517
32,MIL,0.5590969111669213
32,BOOSTING,0.6083621174391517
32,MEDIANFLOW,0.39092553435406213
32,MOSSE,0.6149903907751442
32,Fused,0.6505792877958633
33,CSRT,0.5828536184210527
33,KCF,0.5190172697368421
33,MIL,0.5702183597458556
33,BOOSTING,0.5190172697368421
33,MEDIANFLOW,0.3424731182795699
