Frame,Tracker,Is_inside
48,Fused,True
48,CSRT,True
48,KCF,True
48,MIL,True
48,BOOSTING,True
48,MEDIANFLOW,True
48,MOSSE,True
49,Fused,True
49,CSRT,True
49,KCF,True
49,MIL,True
49,BOOSTING,True
49,MEDIANFLOW,True
49,MOSSE,True
50,Fused,True
50,CSRT,True
50,KCF,True
50,MIL,True
50,BOOSTING,True
50,MEDIANFLOW,True
50,MOSSE,True
51,Fused,True
51,CSRT,True
51,KCF,True
51,MIL,True
51,BOOSTING,True
51,MEDIANFLOW,True
51,MOSSE,True
52,Fused,True
52,CSRT,True
52,KCF,True
52,MIL,True
52,BOOSTING,True
52,MEDIANFLOW,True
52,MOSSE,True
53,Fused,True
53,CSRT,True
53,KCF,True
53,MIL,True
53,BOOSTING,True
53,MEDIANFLOW,True
53,MOSSE,True
54,Fused,True
54,CSRT,True
54,KCF,True
54,MIL,True
54,BOOSTING,True
54,MEDIANFLOW,True
54,MOSSE,True
55,Fused,True
55,CSRT,True
55,KCF,True
55,MIL,True
55,BOOSTING,True
55,MEDIANFLOW,True
55,MOSSE,True
56,Fused,True
56,CSRT,True
56,KCF,True
56,MIL,True
56,BOOSTING,True
56,MEDIANFLOW,True
56,MOSSE,True
57,Fused,True
57,CSRT,True
57,KCF,True
57,MIL,True
57,BOOSTING,True
57,MEDIANFLOW,True
57,MOSSE,True
58,Fused,True
58,CSRT,True
58,KCF,True
58,MIL,True
58,BOOSTING,True
58,MEDIANFLOW,True
58,MOSSE,True
59,Fused,True
59,CSRT,True
59,KCF,True
59,MIL,True
59,BOOSTING,True
59,MEDIANFLOW,True
59,MOSSE,True
60,Fused,True
60,CSRT,True
60,KCF,True
60,MIL,True
60,BOOSTING,True
60,MOSSE,True
61,Fused,True
61,CSRT,True
61,KCF,True
61,MIL,True
61,BOOSTING,True
61,MEDIANFLOW,True
61,MOSSE,True
62,Fused,True
62,CSRT,True
62,KCF,True
62,MIL,True
62,BOOSTING,True
62,MOSSE,True
63,Fused,True
63,CSRT,True
63,KCF,True
63,MIL,True
63,BOOSTING,True
63,MOSSE,True
64,Fused,True
64,CSRT,True
64,KCF,True
64,MIL,True
64,BOOSTING,True
64,MOSSE,True
65,Fused,True
65,CSRT,True
65,KCF,True
65,MIL,True
65,BOOSTING,True
65,MEDIANFLOW,True
65,MOSSE,True
66,Fused,True
66,CSRT,True
66,KCF,True
66,MIL,True
66,BOOSTING,True
66,MEDIANFLOW,True
66,MOSSE,True
67,Fused,True
67,CSRT,True
67,KCF,True
67,MIL,True
67,BOOSTING,True
67,MOSSE,True
68,Fused,True
68,CSRT,True
68,KCF,True
68,MIL,True
68,BOOSTING,True
68,MEDIANFLOW,True
68,MOSSE,True
69,Fused,True
69,CSRT,True
69,MIL,True
69,BOOSTING,True
69,MOSSE,True
70,Fused,True
70,CSRT,True
70,KCF,True
70,MIL,True
70,BOOSTING,True
70,MEDIANFLOW,True
70,MOSSE,True
71,Fused,True
71,CSRT,True
71,KCF,True
71,MIL,True
71,BOOSTING,True
71,MEDIANFLOW,True
71,MOSSE,True
72,Fused,True
72,CSRT,True
72,KCF,True
72,MIL,True
72,BOOSTING,True
72,MEDIANFLOW,True
72,MOSSE,True
73,Fused,True
73,CSRT,True
73,KCF,True
73,MIL,True
73,BOOSTING,True
73,MEDIANFLOW,True
73,MOSSE,True
74,Fused,True
74,CSRT,True
74,KCF,True
74,MIL,True
74,BOOSTING,True
74,MEDIANFLOW,True
74,MOSSE,True
75,Fused,True
75,CSRT,True
75,KCF,True
75,MIL,True
75,BOOSTING,True
75,MEDIANFLOW,True
75,MOSSE,True
76,Fused,True
76,CSRT,True
76,KCF,True
76,MIL,True
76,BOOSTING,True
76,MOSSE,True
77,Fused,True
77,CSRT,True
77,KCF,True
77,MIL,True
77,BOOSTING,True
77,MEDIANFLOW,True
77,MOSSE,True
78,Fused,True
78,CSRT,True
78,KCF,True
78,MIL,True
78,BOOSTING,True
78,MEDIANFLOW,True
78,MOSSE,True
79,Fused,True
79,CSRT,True
79,KCF,True
79,MIL,True
79,BOOSTING,True
79,MEDIANFLOW,True
79,MOSSE,True
80,Fused,True
80,CSRT,True
80,KCF,True
80,MIL,True
80,BOOSTING,True
80,MEDIANFLOW,True
80,MOSSE,True
81,Fused,True
81,CSRT,True
81,KCF,True
81,MIL,True
81,BOOSTING,True
81,MEDIANFLOW,True
81,MOSSE,True
82,Fused,True
82,CSRT,True
82,KCF,True
82,MIL,True
82,BOOSTING,True
82,MEDIANFLOW,True
82,MOSSE,True
83,Fused,True
83,CSRT,True
83,KCF,True
83,MIL,True
83,BOOSTING,True
83,MEDIANFLOW,True
83,MOSSE,True
84,Fused,True
84,CSRT,True
84,KCF,True
84,MIL,True
84,BOOSTING,True
84,MEDIANFLOW,True
84,MOSSE,True
85,Fused,True
85,CSRT,True
85,KCF,True
85,MIL,True
85,BOOSTING,True
85,MEDIANFLOW,True
85,MOSSE,True
86,Fused,True
86,CSRT,True
86,KCF,True
86,MIL,True
86,BOOSTING,True
86,MEDIANFLOW,True
86,MOSSE,True
87,Fused,True
87,CSRT,True
87,KCF,True
87,MIL,True
87,BOOSTING,True
87,MEDIANFLOW,True
87,MOSSE,True
88,Fused,True
88,CSRT,True
88,KCF,True
88,MIL,True
88,BOOSTING,True
88,MEDIANFLOW,True
88,MOSSE,True
89,Fused,True
89,CSRT,True
89,KCF,True
89,MIL,True
89,BOOSTING,True
89,MEDIANFLOW,True
89,MOSSE,True
90,Fused,True
90,CSRT,True
90,KCF,True
90,MIL,True
90,BOOSTING,True
90,MEDIANFLOW,True
90,MOSSE,True
91,Fused,True
91,CSRT,True
91,KCF,True
91,MIL,True
91,BOOSTING,True
91,MEDIANFLOW,True
91,MOSSE,True
92,Fused,True
92,CSRT,True
92,KCF,True
92,MIL,True
92,BOOSTING,True
92,MEDIANFLOW,True
92,MOSSE,True
93,Fused,True
93,CSRT,True
93,KCF,True
93,MIL,True
93,BOOSTING,True
93,MEDIANFLOW,True
93,MOSSE,True
94,Fused,True
94,CSRT,True
94,KCF,True
94,MIL,True
94,BOOSTING,True
94,MEDIANFLOW,True
94,MOSSE,True
95,Fused,True
95,CSRT,True
95,KCF,True
95,MIL,True
95,BOOSTING,True
95,MEDIANFLOW,True
95,MOSSE,True
96,Fused,True
96,CSRT,True
96,KCF,True
96,MIL,True
96,BOOSTING,True
96,MEDIANFLOW,True
96,MOSSE,True
97,Fused,True
97,CSRT,True
97,KCF,True
97,MIL,True
97,BOOSTING,True
97,MEDIANFLOW,True
97,MOSSE,True
98,Fused,True
98,CSRT,True
98,KCF,True
98,MIL,True
98,BOOSTING,True
98,MEDIANFLOW,True
98,MOSSE,True
99,Fused,True
99,CSRT,True
99,KCF,True
99,MIL,True
99,BOOSTING,True
99,MEDIANFLOW,True
99,MOSSE,True
100,Fused,True
100,CSRT,True
100,KCF,True
100,MIL,True
100,BOOSTING,True
100,MEDIANFLOW,True
100,MOSSE,True
101,Fused,True
101,CSRT,True
101,KCF,True
101,MIL,True
101,BOOSTING,True
101,MEDIANFLOW,True
101,MOSSE,True
102,Fused,True
102,CSRT,True
102,KCF,True
102,MIL,True
102,BOOSTING,True
102,MEDIANFLOW,True
102,MOSSE,True
103,Fused,True
103,CSRT,True
103,KCF,True
103,MIL,True
103,BOOSTING,True
103,MEDIANFLOW,True
103,MOSSE,True
104,Fused,True
104,CSRT,True
104,KCF,True
104,MIL,True
104,BOOSTING,True
104,MEDIANFLOW,True
104,MOSSE,True
105,Fused,True
105,CSRT,True
105,KCF,True
105,MIL,True
105,BOOSTING,True
105,MEDIANFLOW,True
105,MOSSE,True
106,Fused,True
106,CSRT,True
106,KCF,True
106,MIL,True
106,BOOSTING,True
106,MEDIANFLOW,True
106,MOSSE,True
107,Fused,True
107,CSRT,True
107,KCF,True
107,MIL,True
107,BOOSTING,True
107,MOSSE,True
108,Fused,True
108,CSRT,True
108,KCF,True
108,MIL,True
